id,x,y,park_id,name,address,zip,acres,opened,status,type,img,web
1,-97.75883915,30.25545673,312,West Bouldin Creek Greenbelt,"1200 S 6th St., Austin, Texas 78704",78704,16.86731362,,Open,Greenbelt,bouldingreenbelt.jpg,https://www.austinparks.org/parks/west-bouldin-creek-greenbelt/
2,-97.78953227,30.42900167,214,Mountain View Neighborhood Park,"9000 Middlebie Rd., Austin, Texas 78750",78750,8.27796311,1997,Open,Neighborhood,mountainview.jpg,https://www.austinparks.org/parks/
3,-97.67498937,30.27766276,217,Norman School Park,"3901 Tannehill Ln., Austin, Texas 78721",78721,7.08904959,1975,Open,School,no.jpg,https://www.austinparks.org/parks/
4,-97.78069465,30.359748,218,North Cat Mountain Greenbelt,"6801 Cat Creek Trl., Austin, Texas 78731",78731,30.71661354,1986,Open_Restricted,Greenbelt,northcatmountain.jpg,https://www.austinparks.org/parks/
5,-97.73599541,30.23398562,388,Heritage Oaks Neighborhood Park,"2100 Parker Ln., Austin, Texas 78741",78741,3.53193169,2011,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
6,-97.6999759,30.33286643,281,St. John's Pocket Park,"889 Wilks Ave., Austin, Texas 78752",78752,0.86356904,1964,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
7,-97.68422161,30.42470236,310,Wells Creek Greenbelt,"13120 Metric Blvd., Austin, Texas 78727",78727,9.24365862,1991,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/wells-creek-greenbelt/
8,-97.74728495,30.37682359,178,Hill School Park,"8405 Tallwood Dr., Austin, Texas 78759",78759,4.70107593,1975,Open,School,no.jpg,https://www.austinparks.org/parks/
9,-97.66304692,30.47292007,276,Springbrook Driving Range,"1800 Picadilly Rd., Pflugerville, Texas 78664",78664,53.57897418,1988,Open_Fee,Special,no.jpg,https://www.austinparks.org/parks/
10,-97.75856024,30.29517274,361,Hartford Planting Strip,"2516 Hartford Rd., Austin, Texas 78703",78703,1.72721253,1969,Closed,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
11,-97.74688768,30.25165564,360,The Circle ROW Greenbelt,"1300 The Circle, Austin, Texas 78704",78704,1.20806081,2008,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
12,-97.73333429,30.31347795,365,Triangle Commons Neighborhood Park,"722 W 46th St., Austin, Texas 78751",78751,6.0218528,2005,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
13,-97.78522838,30.23447446,272,South Austin Senior Activity Center,"3911 Manchaca Rd., Austin, Texas 78704",78704,4.52988616,,Open,Special,no.jpg,https://www.austinparks.org/parks/
14,-97.7806245,30.43061525,288,Tanglewood Neighborhood Park,"11409 Rustic Rock Rd., Austin, Texas 78750",78750,14.12046488,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
15,-97.68965268,30.2779001,396,Plummers Cemetery,"1150 Blk of Springdale Rd., Austin, Texas 78721",78721,7.12815852,,Open_Restricted,Cemetery,no.jpg,https://www.austinparks.org/parks/
16,-97.65102145,30.3947847,398,Oertli Neighborhood Park,"12613 Blaine Rd., Austin, Texas 78753",78753,6.13351119,2013,Planned,Neighborhood,no.jpg,https://www.austinparks.org/parks/
17,-97.7421783,30.15544328,171,Grand Meadow Neighborhood Park,"8022 Thaxton Dr., Austin, Texas 78747",78747,9.99401021,1988,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
18,-97.74335364,30.24708331,194,Little Stacy Neighborhood Park,"1500 Alameda Dr., Austin, Texas 78704",78704,6.86158307,1929,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
19,-97.76921913,30.41753092,226,Oakview Neighborhood Park,"10902 Oak View Dr., Austin, Texas 78759",78759,6.97521809,1981,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
20,-97.83260569,30.19351612,346,Piney Bend Neighborhood Park,"8601 Piney Creek Bnd., Austin, Texas 78745",78745,4.20313079,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
21,-97.72237551,30.27551688,395,Oakwood Annex Cemetery,"1509 E MLK Jr Blvd., Austin, Texas 78702",78702,18.57673301,,Open_Restricted,Cemetery,no.jpg,https://www.austinparks.org/parks/
22,-97.6990881,30.2376668,260,Roy G. Guerrero Colorado River Metro Park,"400 Grove Blvd., Austin, Texas 78741",78741,399.4665827,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
23,-97.78771016,30.29201345,251,Red Bud Isle,"3401 Red Bud Trl., Austin, Texas 78746",78746,17.49307899,,Open,Special,no.jpg,https://www.austinparks.org/parks/red-bud-isle/
24,-97.74898954,30.26450549,299,Shoal Beach at Town Lake Metro Park,"707 W Cesar Chavez St., Austin, Texas 78701",78701,15.11517868,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
25,-97.78098508,30.44956971,387,Springwoods Neighborhood Park,"9117 Anderson Mill Rd., Austin, Texas 78729",78729,12.45145586,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
26,-97.74789801,30.26754902,255,Republic Square,"422 Guadalupe St., Austin, Texas 78701",78701,1.74910215,,Open,Special,no.jpg,https://www.austinparks.org/parks/
27,-97.78765933,30.40467121,417,Maggie Boatright Area of the Bull Creek Greenbelt,"6958 Spicewood Springs Rd., Austin, Texas 78759",78759,8.99115991,1996,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
28,-97.74882059,30.27717578,381,Heath Eiland and Morgan Moss BMX Skate Park,"1213 Shoal Creek Blvd., Austin, Texas 78701",78701,1.55637564,1931,Open,Special,no.jpg,https://www.austinparks.org/parks/
29,-97.75642352,30.1965727,179,Houston School Park,"5506 Tallow Tree Dr., Austin, Texas 78744",78744,8.56149739,1977,Open,School,no.jpg,https://www.austinparks.org/parks/
30,-97.71381696,30.24913273,297,Longhorn Shores at Town Lake Metro Park,"60 S Pleasant Valley Rd., Austin, Texas 78741",78741,10.63606158,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
