id,name,website,address,phone,twitter,x,y,img
1,ACL live at Moody Gardens Theater,http://acl-live.com/,310 Willie Nelson Blvd Austin- Texas 78701,(512)225-7999,@acllive,-97.747295,30.26536,acllive.jpg
2,Austin 360 Amiptheater,http://austin360amphitheater.com/,9201 Circuit of the Americas Blvd- Del Valle- TX 78617,(512) 301-6600,@austin360amp,-97.638429,30.134165,360amp.jpg
3,Bass Concert Hall,http://texasperformingarts.org/venues/bass_concert_hall,2350 Robert Dedman Dr- Austin- TX 78712,(512) 471-2787,@tpapresents,-97.731239,30.286158,bass.jpg
4,Beerland,http://beerlandtexas.com/,711 Red River St- Austin- TX 78701,(512) 479-7625,@beerlandtexas,-97.736477,30.26775,beerland.jpg
5,Buffalo Billiards,http://buffalobilliardsaustin.com/,201 E 6th St- Austin- TX 78701,(512) 479-7665,@buffaloatx,-97.741314,30.267344,buffalo.jpg
6,Cactus Cafe,http://cactuscafe.org/,2247 Guadalupe St - Austin - TX 78712, (512)475-6515, @cactuscafeatx,-97.741257,30.28608,cactus.jpg
7,Cheer-up Charlies,http://cheerupcharlies.com/,900 Red River St- Austin- TX 78701,(512) 431-2133,@cheerupcharlies,-97.736358,30.26961,cheer.jpg
8,Cherrywood Coffeehouse,http://www.cherrywoodcoffeehouse.com/,1400 E 38th 1/2 St- Austin- TX 78722,(512) 538-1991,@cwcoffeehouse,-97.716023,30.293441,cherrywood.jpg
9,Easy Tiger,http://easytigeraustin.com/,709 E 6th St- Austin- TX 78701,(512) 614-4972,@easytigeratx,-97.735648,30.265911,tiger.jpg
10,Hole in the Wall,http://www.holeinthewallaustin.com/,"2538 Guadalupe St, Austin, TX 78705",(512) 472-5599,@hitwatx,-97.741764,30.290065,hole.jpg
11,Maggie Mae's,http://www.maggiemaesaustin.com/,323 E 6th St- Austin- TX 78701,(512) 478-8541,@maggiemaesatx,-97.73975,30.266961,maggie.jpg
12,Nutty Brown Cafe,http://nuttybrown.com/,12225 W Highway 290- Austin- TX 78737,(512) 301-4648,@nuttybrowncafe,-97.971639,30.209428,nutty.jpg
13,One World Theater,http://www.oneworldtheatre.org/index.aspx,7701 Bee Caves Rd- Austin- TX 78746,(512) 330-9500,@oneworldtheater,-97.845468,30.308881,oneworld.jpg
14,Red Eyed Fly,http://redeyedfly.com/,715 Red River St- Austin- TX 78701,(512) 474-1084,@redeyedflyatx,-97.736343,30.267896,redeyed.jpg
15,Saxon Pub,http://thesaxonpub.com/,1320 S Lamar Blvd- Austin- TX 78704,(512) 448-2552,@saxonpub,-97.763545,30.253558,saxon.jpg
16,Stubb's,https://www.stubbsaustin.com/,801 Red River St- Austin,(512) 480-8341,@stubbsaustin,-97.736156,30.26849,stubbs.jpg
17,Swan Dive,http://www.swandiveaustin.com/,615 Red River St- Austin- TX 78701,(512) 470-7407,@sawndiveaustin,-97.736584,30.267126,swan.jpg
18,The White Horse,http://www.thewhitehorseaustin.com/,500 Comal St- Austin- TX 78702,(512) 553-6756,@whitehorseatx,-97.727035,30.262534,whitehorse.jpg
19,Waterloo Records,http://www.waterloorecords.com/,600A N Lamar Blvd- Austin- TX 78703,(512) 474-2500,@waterloorecords,-97.75426,30.271964,waterloo.jpg
